"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV9",38708.0448319041,1.17297249617576,1.65839855066829,0.707292282487268,0.479384860515013,0.606927621569466,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sanguinis","Turicibacter","sanguinis","NS"
"ASV19",499.542557644594,1.10491306446992,2.19310234413268,0.503812814493565,0.614392921845374,0.720707789404974,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrionaceae UCG-001 sp.","Succinivibrionaceae UCG-001",NA,"NS"
"ASV1201",3.06192825875166,6.72266164404181,3.94182625645368,1.70546878697032,0.088107028821635,0.270517638394849,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"NS"
"ASV24",995.13731494103,1.90284942935486,2.59710136740206,0.732682002034572,0.463752403692422,0.601516851058791,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV2330",0.406693670736272,3.81583094786447,3.96211996541263,0.963078094851951,0.335508333696702,0.470516474580701,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV505",8.11635353167965,-21.0569286821397,3.98748652892363,-5.2807523058451,1.28654522336871e-07,6.34083002946009e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"Low"
"ASV232",23.7705192856988,-1.05921444066135,3.93330491497728,-0.26929375259672,0.787703639376714,0.845938538785887,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella sp.","Weissella",NA,"NS"
"ASV119",124.300555430099,29.7072327161169,3.93946124181539,7.54093793354015,4.66603169522555e-14,1.60978093485282e-12,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001 sp.","Prevotellaceae UCG-001",NA,"High"
"ASV40",6358.63548079495,2.02294886722591,1.53610724412445,1.31693205338599,0.187861401106165,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV2707",0.514929785957468,4.15809447523632,3.95720125918985,1.05076648946776,0.29336585007894,0.437670133090742,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV1",889248.191193092,-2.11299185641125,0.942136824764026,-2.2427653827675,0.0249119478806521,0.105779963308615,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV28",2049.6115057508,0.707837688644988,2.41748329096756,0.292799413046485,0.769675476923946,0.842977903297656,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella sp.","Parasutterella",NA,"NS"
"ASV85",122.203104361642,1.283702594256,3.84416163257525,0.333935644999411,0.738428121382326,0.825126159925191,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV106",361.541407066563,2.87336084303293,2.99844436682589,0.958283860398792,0.337919640019957,0.471039498209637,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister succinatiphilus","Dialister","succinatiphilus","NS"
"ASV73",61.6721475212018,-23.7255728412472,3.98668457540345,-5.9512039120492,2.66177206427772e-09,1.59706323856663e-08,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"Low"
"ASV186",54.6199488989339,3.18151379840795,3.92878906783787,0.80979501405476,0.418057998693653,0.56560788058553,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV244",3.77125321571753,-3.89997110136899,3.98851165175217,-0.977801105245792,0.3281727042988,0.470320694447531,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group sp.","Rikenellaceae RC9 gut group",NA,"NS"
"ASV312",0.654150640903281,4.50375642831228,3.95327508870048,1.13924690978,0.254600184933733,0.408544482800641,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV105",251.080898524296,0.0149406596312229,2.99086510599319,0.00499543078732784,0.996014239477235,0.998336885407353,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium sp.","Faecalibacterium",NA,"NS"
"ASV944",3.82977992878369,7.04476849196533,3.94119684887574,1.78746933028096,0.0738616648223376,0.237044412685642,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV960",0.990121203178928,5.08630207567349,3.94844241579753,1.28817937304175,0.197683530505866,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV99",1963.60879863246,2.47550797539503,3.92814449821687,0.630197788426253,0.528565186060907,0.654188302030539,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV970",1.02887434082054,5.14572060673909,3.94804973419921,1.30335759505897,0.192452706488997,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV238",193.004451587456,7.86641480851916,3.9299759082725,2.00164453730125,0.0453229753770228,0.17411330315339,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV29",12539.1574434551,-0.803399344038651,2.18456039452392,-0.367762478003605,0.713050349426948,0.806565149351794,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus pontis","Lactobacillus","pontis","NS"
"ASV855",0.990121203178928,5.08630207567349,3.94844241579753,1.28817937304175,0.197683530505866,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV176",1.68100050570992,5.85922248864741,3.94440063656911,1.48545318503544,0.137423815897457,0.324179258014513,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema sp.","Treponema",NA,"NS"
"ASV1328",9.53596298616381,26.1089230965956,3.94039544123405,6.62596520729373,3.44986428757475e-11,3.28331911507114e-10,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia sp.","Pseudoscardovia",NA,"High"
"ASV108",111.815894040715,1.93945545467869,3.92844996516394,0.493694834318135,0.621521713956734,0.722463128599427,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus sp.","Ruminococcus",NA,"NS"
"ASV45",6068.31687430046,1.44773302515391,2.65030417915505,0.546251647844989,0.58489296817092,0.70493650312303,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia suis","Pseudoscardovia","suis","NS"
"ASV455",22.8590987802901,27.3352985411988,3.93980567124858,6.93823523852533,3.97028220222032e-12,5.76735730427794e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"High"
"ASV457",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella sp.","Weissella",NA,"NS"
